Genotype,Accession,Group,Block,Rep,Env,Prot_W,Oil_W,Fib_W,Ash_W,Star_W
A634,Ames19308,stiff stalk,1,1,4,17.01,4.06,2.35,1.68,73.79
PHW03,PI601790,stiff stalk,1,1,4,13.05,4.17,2.49,1.5,73.01
LH149,PI601493,stiff stalk,1,1,4,6.79,2.37,1.96,1.17,75.01
B76,PI550483,stiff stalk,1,1,4,14.42,3.98,2.09,1.59,72.58
B73,PI550473,stiff stalk,1,1,4,8.57,3.11,1.96,1.28,74.36
PHP55,PI601784,stiff stalk,1,1,4,9.43,1.96,1.93,1.29,75.86
A632,PI587140,stiff stalk,1,1,4,15.23,3.04,2.14,1.64,74.22
LH119,PI600954,stiff stalk,1,1,4,11.61,3.31,2.1,1.41,74.3
B73,PI550473,stiff stalk,1,1,4,9.26,2.69,2.01,1.31,74.32
DK78002A,PI601301,stiff stalk,1,1,4,11.66,3.78,2.16,1.47,73.85
NS501,PI601583,stiff stalk,1,1,4,17.12,3.85,2.25,1.7,74.16
PHG86,PI601442,stiff stalk,1,1,4,10.38,4.18,2.27,1.45,75.51
A635,Ames19309,stiff stalk,1,1,4,11.64,3.08,1.96,1.56,76.02
B73,PI550473,stiff stalk,1,1,4,9.72,3.36,2.2,1.41,73.72
N192,PI550566,stiff stalk,1,1,4,15.53,4,2.09,1.62,75.52
LH202,PI539924,stiff stalk,1,1,4,7.9,2.76,1.95,1.26,74.6
PHN66,PI548802,stiff stalk,1,1,4,10.71,2.3,2.44,1.41,73.93
DK4676A,PI601300,stiff stalk,1,1,4,11.85,4.77,1.99,1.47,74.06
LH146Ht,PI601402,stiff stalk,1,1,4,12.92,3.5,2.05,1.55,73.67
ICI 441,PI559381,stiff stalk,1,1,4,8.74,2.81,1.98,1.24,73.58
B73,PI550473,stiff stalk,1,1,4,8.36,3.27,1.87,1.28,74.1
IBB14,PI601565,stiff stalk,1,1,4,10.85,2.58,2.34,1.43,73.98
LH132,PI601004,stiff stalk,1,1,4,8.1,3.33,2.1,1.31,75.38
PHV37,PI601789,stiff stalk,1,1,4,11.79,3.17,2.3,1.55,74.5
LH145,PI600959,stiff stalk,1,1,4,13.75,4.34,2.11,1.52,75.3
NC250,PI550555,stiff stalk,2,1,4,13.46,3.7,2.32,1.44,73.6
H110,PI550526,stiff stalk,2,1,4,15.87,4.23,2.52,1.74,75.84
B14A,PI550461,stiff stalk,2,1,4,8.47,3.15,1.95,1.25,73.96
B73,PI550473,stiff stalk,2,1,4,9.28,2.71,1.85,1.31,74.72
PHJ70,PI601775,stiff stalk,2,1,4,11.55,3.05,2.1,1.5,73.9
B73,PI550473,stiff stalk,2,1,4,8.15,2.88,2.03,1.28,74.73
LH193,PI539927,stiff stalk,2,1,4,8.11,3.35,2.11,1.2,74.73
CO258,Ames27053,stiff stalk,2,1,4,12.82,4.11,1.97,1.49,73.52
W23,NSL30060,stiff stalk,2,1,4,13.39,3.6,2.55,1.63,72.57
Os426,Ames22756,stiff stalk,2,1,4,12.94,2.97,2.29,1.51,75.15
LH190,PI539922,stiff stalk,2,1,4,13.3,4.2,2.26,1.58,74.58
B37,PI550467,stiff stalk,2,1,4,13.59,3.51,2.52,1.65,73.92
LP1 NR HT,PI600729,stiff stalk,2,1,4,12.97,2.42,2.35,1.68,74.58
LH195,PI537097,stiff stalk,2,1,4,8.55,3.75,1.87,1.27,74.02
87916W,PI601563,stiff stalk,2,1,4,8.19,2.89,1.9,1.22,73.52
LH205,PI537099,stiff stalk,2,1,4,11.82,3.39,2.09,1.44,74.35
PHT55,PI601498,stiff stalk,2,1,4,13.76,3.74,2.35,1.54,74.32
H105W,PI587127,stiff stalk,2,1,4,11.08,3.32,2.03,1.59,76.03
B109,PI597927,stiff stalk,2,1,4,8.91,3.89,2.08,1.4,73.9
CO257,Ames27052,stiff stalk,2,1,4,16.15,4.34,2.73,1.72,72.46
B73,PI550473,stiff stalk,2,1,4,7.97,3.28,2.27,1.2,73.62
LH192,PI539926,stiff stalk,2,1,4,11.37,2.73,2.12,1.43,74.37
B73,PI550473,stiff stalk,2,1,4,6.54,2.32,1.97,1.23,73.97
NS701,PI601417,stiff stalk,2,1,4,9.75,2.09,1.87,1.38,75.73
PHM10,PI601778,stiff stalk,2,1,4,11.66,2.42,2.33,1.54,75.63
NC328,Ames27160,stiff stalk,2,1,4,9.61,3.55,2.09,1.37,75.02
PHW52,PI601575,stiff stalk,2,1,4,11.5,3.39,2.02,1.49,74.72
N28Ht,Ames27138,stiff stalk,2,1,4,14.01,2.09,2.46,1.66,74.33
PHT10,PI601573,stiff stalk,2,1,4,15.43,4.24,2.14,1.61,74.18
B73,PI550473,stiff stalk,2,1,4,9,3.1,1.86,1.26,73.98
LH194,PI539923,stiff stalk,2,1,4,8.89,3.99,1.71,1.29,74.31
4N506,PI601745,stiff stalk,2,1,4,8.76,4.39,2.07,1.32,74.83
LH74,PI600957,stiff stalk,1,2,4,13.02,3.15,2.63,1.59,71.82
W64A,PI587152,stiff stalk,1,2,4,12.43,3.35,2.56,1.58,73.23
DK78002A,PI601301,stiff stalk,1,2,4,11.19,1.73,3.14,1.53,71.14
A634,Ames19308,stiff stalk,1,2,4,15.77,0.72,3.89,1.68,70.34
NS501,PI601583,stiff stalk,1,2,4,14.91,3.7,2.42,1.63,72.54
PHN66,PI548802,stiff stalk,1,2,4,10.18,1.05,3.47,1.51,70.95
PHV37,PI601789,stiff stalk,1,2,4,10.44,2.97,2.66,1.45,73.15
DK4676A,PI601300,stiff stalk,1,2,4,11.06,0.78,3.72,1.51,68.81
LH146Ht,PI601402,stiff stalk,1,2,4,12.93,3.82,2.07,1.49,74.59
B73,PI550473,stiff stalk,1,2,4,12.13,4.01,2.1,1.44,74.62
LH145,PI600959,stiff stalk,1,2,4,16,3.59,2.14,1.62,75.59
B73,PI550473,stiff stalk,1,2,4,10.77,3.43,2.12,1.38,74.68
LH202,PI539924,stiff stalk,1,2,4,8.91,-0.05,3.42,1.38,70.39
A632,PI587140,stiff stalk,1,2,4,12.87,0.55,3.56,1.57,70.21
PHW03,PI601790,stiff stalk,1,2,4,14.46,5.44,2.25,1.56,71.58
PHB47,PI601009,stiff stalk,1,2,4,13.55,3.99,2.33,1.46,73.89
ICI 441,PI559381,stiff stalk,1,2,4,9.94,3.9,2.1,1.37,74.1
PHG80,PI601037,stiff stalk,1,2,4,9.34,2.63,2.12,1.36,74.81
LH119,PI600954,stiff stalk,1,2,4,11.08,4.2,2.13,1.29,73.99
PHG86,PI601442,stiff stalk,1,2,4,10.62,3.89,2.09,1.34,74.12
IBB14,PI601565,stiff stalk,1,2,4,10.58,2.89,2.28,1.43,73.61
LH149,PI601493,stiff stalk,1,2,4,8.25,2.16,1.91,1.33,73.29
B73,PI550473,stiff stalk,1,2,4,11.29,3.61,2.03,1.45,74.65
B73,PI550473,stiff stalk,1,2,4,10.76,3.75,2.14,1.48,75.2
2FACC,PI601808,stiff stalk,1,2,4,10.96,3.25,1.96,1.4,76.27
B76,PI550483,stiff stalk,1,2,4,13.35,3.65,2.2,1.57,74.04
DJ7,PI601191,stiff stalk,1,2,4,6.91,2.29,1.99,1.28,74.78
A680,Ames23503,stiff stalk,1,2,4,8.6,3.41,2.05,1.27,73.43
LH132,PI601004,stiff stalk,1,2,4,9.41,3.54,1.85,1.22,73.34
A635,Ames19309,stiff stalk,1,2,4,13.04,3.41,2.05,1.46,74.17
PHP55,PI601784,stiff stalk,1,2,4,10.43,2.19,2.07,1.45,75.57
N192,PI550566,stiff stalk,1,2,4,13.73,3.66,2.12,1.56,75.43
LP5,PI601378,stiff stalk,1,2,4,8.99,3.83,2.21,1.33,74.25
PHW17,PI601362,stiff stalk,1,2,4,12.01,3.45,2.16,1.38,74.84
DKPB80,PI601441,stiff stalk,1,2,4,11.11,3.43,1.83,1.41,73.72
DKFBHJ,PI601439,stiff stalk,1,2,4,14.43,4.81,2.04,1.55,74.85
PHG71,PI601150,stiff stalk,1,2,4,13.95,4.09,2.45,1.54,73.78
B109,PI597927,stiff stalk,2,2,4,11.25,4.04,2.24,1.4,73.98
LH195,PI537097,stiff stalk,2,2,4,10.4,4.21,2,1.39,74.56
B73,PI550473,stiff stalk,2,2,4,8.91,3.31,2.02,1.34,74.47
PHJ70,PI601775,stiff stalk,2,2,4,12.87,3.08,2.27,1.44,73.12
NC250,PI550555,stiff stalk,2,2,4,13.59,4.6,2.32,1.61,74.03
LH190,PI539922,stiff stalk,2,2,4,11.9,4.02,2.3,1.52,73.39
PHT55,PI601498,stiff stalk,2,2,4,12.45,3.35,2.3,1.48,72.76
B37,PI550467,stiff stalk,2,2,4,12.61,3.41,2.72,1.61,73.59
N28Ht,Ames27138,stiff stalk,2,2,4,11.05,2.48,2.61,1.5,74.33
B73,PI550473,stiff stalk,2,2,4,9.36,3.24,2.13,1.38,73.26
PHT10,PI601573,stiff stalk,2,2,4,11.95,3.84,2.18,1.54,73.69
W23,NSL30060,stiff stalk,2,2,4,10.1,3.91,2.72,1.49,72.98
B65,PI550463,stiff stalk,2,2,4,18.16,3.78,2.47,1.77,73.81
H110,PI550526,stiff stalk,2,2,4,14.15,2.91,2.41,1.57,75.4
4N506,PI601745,stiff stalk,2,2,4,6.44,3.35,2.26,1.2,73.93
Os426,Ames22756,stiff stalk,2,2,4,12.39,2.96,2.17,1.44,74.41
CO258,Ames27053,stiff stalk,2,2,4,13.9,3.57,2.41,1.53,72.62
LH205,PI537099,stiff stalk,2,2,4,10.73,3.76,2.14,1.33,74.33
B73,PI550473,stiff stalk,2,2,4,7.76,2.56,2.04,1.18,74.37
PHW52,PI601575,stiff stalk,2,2,4,9.55,3.1,1.83,1.29,74.74
NC328,Ames27160,stiff stalk,2,2,4,8.39,3.98,1.95,1.26,73.72
LP1 NR HT,PI600729,stiff stalk,2,2,4,13.94,3.85,2.96,1.64,71.2
B105,PI594048,stiff stalk,2,2,4,16.25,5.48,2.32,1.76,72.95
87916W,PI601563,stiff stalk,2,2,4,8.79,3.29,2.24,1.24,72.56
LH193,PI539927,stiff stalk,2,2,4,7.64,2.5,1.98,1.16,73.67
LH208,PI547088,stiff stalk,2,2,4,11.27,3.14,2.31,1.36,73.29
B73,PI550473,stiff stalk,2,2,4,5.93,2.49,2.13,1.09,73.83
B73,PI550473,stiff stalk,2,2,4,7.47,3.27,2.32,1.21,73.22
LH192,PI539926,stiff stalk,2,2,4,12.39,3.88,2.35,1.46,72.21
H84,PI587128,stiff stalk,2,2,4,14.25,4.21,2.58,1.56,73.34
PHM10,PI601778,stiff stalk,2,2,4,12.01,3.56,2.29,1.41,74.13
LH194,PI539923,stiff stalk,2,2,4,9.69,4.08,1.84,1.26,74.03
FR19,PI600772,stiff stalk,2,2,4,12.8,2.86,2.1,1.61,76
LH1,PI644101,stiff stalk,2,2,4,11.21,3.11,2.22,1.39,73.93
PHK29,PI601468,stiff stalk,2,2,4,11.77,2.8,2.23,1.36,74.63
PHG86,PI601442,stiff stalk,1,1,5,11.29,4.56,2.07,1.5,70.42
2FACC,PI601808,stiff stalk,1,1,5,12.36,5.25,1.83,1.51,68.89
ICI 441,PI559381,stiff stalk,1,1,5,12.11,5.42,1.71,1.47,70.13
W64A,PI587152,stiff stalk,1,1,5,14.45,4.98,2.13,1.65,69.47
B76,PI550483,stiff stalk,1,1,5,13.22,4.52,1.76,1.48,70.63
PHB47,PI601009,stiff stalk,1,1,5,14.68,5.68,2.1,1.66,69.16
PHG71,PI601150,stiff stalk,1,1,5,14.46,5.09,1.71,1.55,70.23
B73,PI550473,stiff stalk,1,1,5,13.88,5.23,1.68,1.59,68.82
PHG80,PI601037,stiff stalk,1,1,5,8.53,4.73,1.94,1.34,68.47
A680,Ames23503,stiff stalk,1,1,5,12.97,5.56,2.25,1.64,66.21
PHW17,PI601362,stiff stalk,1,1,5,13.18,5.11,1.81,1.56,68.78
A635,Ames19309,stiff stalk,1,1,5,13.71,5.04,1.74,1.56,68.27
A634,Ames19308,stiff stalk,1,1,5,15.8,5.58,2.05,1.7,68.47
IBB14,PI601565,stiff stalk,1,1,5,11.81,4.94,1.93,1.54,67.71
PHN66,PI548802,stiff stalk,1,1,5,12.43,4.79,1.71,1.52,69.96
PHW03,PI601790,stiff stalk,1,1,5,11.95,6.42,2.23,1.63,67.11
LH132,PI601004,stiff stalk,1,1,5,14.96,5.22,1.79,1.66,69.58
B73,PI550473,stiff stalk,1,1,5,13.18,5.51,1.7,1.56,68.07
LH149,PI601493,stiff stalk,1,1,5,12.14,4.87,1.81,1.55,69.08
LH202,PI539924,stiff stalk,1,1,5,11.9,5.27,1.64,1.52,70.03
NS501,PI601583,stiff stalk,1,1,5,14.1,5.28,1.97,1.6,67.55
LH146Ht,PI601402,stiff stalk,1,1,5,15.53,5.89,1.67,1.68,69.34
LP5,PI601378,stiff stalk,1,1,5,9.05,4.57,1.7,1.35,68.35
LH145,PI600959,stiff stalk,1,1,5,15.29,5.74,1.85,1.68,69.57
PHP55,PI601784,stiff stalk,1,1,5,11.59,4.61,1.56,1.4,69.67
LH74,PI600957,stiff stalk,1,1,5,12.78,5.66,1.9,1.59,67.24
B73,PI550473,stiff stalk,1,1,5,15.52,5.21,1.56,1.63,69.8
B73,PI550473,stiff stalk,1,1,5,13.86,5.12,1.35,1.52,69.54
B73,PI550473,stiff stalk,1,1,5,12.18,4.89,1.53,1.51,67.36
PHV37,PI601789,stiff stalk,1,1,5,12.49,5.07,1.67,1.5,68.9
A632,PI587140,stiff stalk,1,1,5,13.47,5.3,1.68,1.56,69.52
DJ7,PI601191,stiff stalk,1,1,5,8.69,4.69,1.63,1.33,68.71
N192,PI550566,stiff stalk,1,1,5,16.51,5.79,1.72,1.73,68.63
LH119,PI600954,stiff stalk,1,1,5,11.75,4.72,1.64,1.5,69.87
DKPB80,PI601441,stiff stalk,1,1,5,11.03,5.68,1.43,1.39,68.71
LP1 NR HT,PI600729,stiff stalk,2,1,5,13.42,6.12,1.69,1.55,68.1
H110,PI550526,stiff stalk,2,1,5,13.31,4.93,1.72,1.52,70.1
B73,PI550473,stiff stalk,2,1,5,11.69,5.41,1.51,1.47,69.21
CO258,Ames27053,stiff stalk,2,1,5,14.03,5.88,1.73,1.59,69.26
PHT10,PI601573,stiff stalk,2,1,5,12.6,5.49,1.56,1.53,68.97
Os426,Ames22756,stiff stalk,2,1,5,12.57,5.26,1.66,1.5,69.17
PHJ70,PI601775,stiff stalk,2,1,5,12.99,4.59,1.46,1.48,68.8
NS701,PI601417,stiff stalk,2,1,5,11.34,5.34,1.52,1.36,70.72
PHK29,PI601468,stiff stalk,2,1,5,9.08,4.43,1.79,1.29,70.96
LH208,PI547088,stiff stalk,2,1,5,12.65,4.61,1.73,1.48,70.43
NC328,Ames27160,stiff stalk,2,1,5,10.66,6.02,1.64,1.42,68.61
B73,PI550473,stiff stalk,2,1,5,11.6,4.6,1.7,1.51,69.62
LH195,PI537097,stiff stalk,2,1,5,11.47,5.18,1.86,1.49,69.6
B37,PI550467,stiff stalk,2,1,5,12.18,5.8,2.26,1.59,67.85
NC250,PI550555,stiff stalk,2,1,5,12.57,6.07,1.74,1.55,67.86
B105,PI594048,stiff stalk,2,1,5,13.8,5.44,1.85,1.59,68.35
LH194,PI539923,stiff stalk,2,1,5,10.14,5.38,1.44,1.36,69.57
LH205,PI537099,stiff stalk,2,1,5,9.35,5.11,1.38,1.26,68.69
LH192,PI539926,stiff stalk,2,1,5,13.24,6.24,1.84,1.57,67.68
87916W,PI601563,stiff stalk,2,1,5,8.91,5.04,1.36,1.24,70.16
B73,PI550473,stiff stalk,2,1,5,10.9,4.76,1.59,1.42,71.08
B14A,PI550461,stiff stalk,2,1,5,9.26,4.83,1.56,1.33,70.24
LH193,PI539927,stiff stalk,2,1,5,14.21,5.38,1.86,1.59,69.89
CO257,Ames27052,stiff stalk,2,1,5,14.11,5.63,2.07,1.65,65.97
LH190,PI539922,stiff stalk,2,1,5,10.59,6.09,1.76,1.45,69.54
B73,PI550473,stiff stalk,2,1,5,12.62,5.03,1.81,1.58,68.55
B109,PI597927,stiff stalk,2,1,5,11.13,5.97,1.74,1.43,68.96
B73,PI550473,stiff stalk,2,1,5,14.05,4.84,1.76,1.65,68.9
4N506,PI601745,stiff stalk,2,1,5,12.22,5.53,1.76,1.49,69.51
LH1,PI644101,stiff stalk,2,1,5,11.87,5.58,1.56,1.43,69.67
N28Ht,Ames27138,stiff stalk,2,1,5,11.79,5.23,2.03,1.49,70.68
PHM10,PI601778,stiff stalk,2,1,5,12.01,5.46,1.8,1.51,70.85
PHT55,PI601498,stiff stalk,2,1,5,12.43,5.71,1.89,1.55,69.67
FR19,PI600772,stiff stalk,2,1,5,11.94,5.45,1.55,1.46,70.06
W23,NSL30060,stiff stalk,2,1,5,10.54,5.08,2.16,1.49,68.27
PHW52,PI601575,stiff stalk,2,1,5,10.31,4.78,1.58,1.34,67.81
H84,PI587128,stiff stalk,2,1,5,11.76,5.21,1.86,1.48,69.19
H105W,PI587127,stiff stalk,2,1,5,14.67,4.89,2.08,1.62,69.38
PHV37,PI601789,stiff stalk,1,2,5,12.64,5.02,1.93,1.56,68.78
2FACC,PI601808,stiff stalk,1,2,5,12.07,5.12,1.62,1.47,67.58
A635,Ames19309,stiff stalk,1,2,5,14.19,4.79,1.7,1.56,69.16
ICI 441,PI559381,stiff stalk,1,2,5,11.94,5.48,1.68,1.48,68.37
PHW17,PI601362,stiff stalk,1,2,5,13.24,5.49,1.72,1.57,68.73
A632,PI587140,stiff stalk,1,2,5,14.28,5.85,1.91,1.62,67.78
B73,PI550473,stiff stalk,1,2,5,12.86,4.93,1.79,1.52,68.08
DJ7,PI601191,stiff stalk,1,2,5,11.46,5.3,1.69,1.49,70.38
A680,Ames23503,stiff stalk,1,2,5,14.2,6.2,1.74,1.63,68.48
DKPB80,PI601441,stiff stalk,1,2,5,10.04,4.94,1.73,1.34,69.69
LH146Ht,PI601402,stiff stalk,1,2,5,14.6,5.73,1.92,1.63,69.23
B76,PI550483,stiff stalk,1,2,5,13.46,5.94,1.72,1.56,69.07
B73,PI550473,stiff stalk,1,2,5,13.18,5.53,1.88,1.58,69.42
PHP55,PI601784,stiff stalk,1,2,5,10.89,4.14,1.62,1.38,70.67
DK78002A,PI601301,stiff stalk,1,2,5,12.4,5.63,1.91,1.53,69.28
LH119,PI600954,stiff stalk,1,2,5,12.21,6.06,1.72,1.51,69.26
PHB47,PI601009,stiff stalk,1,2,5,12.81,5.83,2.05,1.59,66.88
LH132,PI601004,stiff stalk,1,2,5,12.54,5.52,1.67,1.52,67.71
LH202,PI539924,stiff stalk,1,2,5,10.69,5.13,1.62,1.4,68.41
IBB14,PI601565,stiff stalk,1,2,5,10.91,4.65,2.06,1.46,67.62
B73,PI550473,stiff stalk,1,2,5,11.98,5.25,1.63,1.48,68.3
B73,PI550473,stiff stalk,1,2,5,12.67,5.66,1.59,1.49,68.53
LP5,PI601378,stiff stalk,1,2,5,9.13,4.59,1.7,1.34,67.84
LH145,PI600959,stiff stalk,1,2,5,14.22,5.41,1.74,1.56,69.6
PHW03,PI601790,stiff stalk,1,2,5,11.44,5.95,2.41,1.57,67.13
NS501,PI601583,stiff stalk,1,2,5,14.84,5.36,1.78,1.58,68.99
LH74,PI600957,stiff stalk,1,2,5,11.81,5.32,1.68,1.45,68.59
DK4676A,PI601300,stiff stalk,1,2,5,11.23,5.07,1.76,1.45,66.98
PHG71,PI601150,stiff stalk,1,2,5,13.69,6.62,2.1,1.61,64.52
N192,PI550566,stiff stalk,1,2,5,17.1,5.01,1.58,1.71,69.65
A634,Ames19308,stiff stalk,1,2,5,15.74,5.51,1.83,1.68,68.49
PHG80,PI601037,stiff stalk,1,2,5,9.49,4.73,1.58,1.36,69.89
PHN66,PI548802,stiff stalk,1,2,5,11.56,6.09,1.88,1.51,68.29
LH149,PI601493,stiff stalk,1,2,5,11.44,5.24,1.55,1.42,69.41
PHG86,PI601442,stiff stalk,1,2,5,9.12,4.83,1.8,1.35,69.37
B73,PI550473,stiff stalk,1,2,5,11.4,5.38,1.64,1.48,68.85
W64A,PI587152,stiff stalk,1,2,5,14.35,4.72,1.94,1.63,68.28
W23,NSL30060,stiff stalk,2,2,5,10.05,5.25,2.17,1.44,66.54
B73,PI550473,stiff stalk,2,2,5,10.77,5.09,1.59,1.45,68.76
NC250,PI550555,stiff stalk,2,2,5,12.45,5.93,1.99,1.6,67.45
B105,PI594048,stiff stalk,2,2,5,12.94,5.68,1.92,1.55,68.24
B73,PI550473,stiff stalk,2,2,5,10.57,5.38,1.73,1.43,67.94
B73,PI550473,stiff stalk,2,2,5,11.72,5.1,1.75,1.54,68.13
H105W,PI587127,stiff stalk,2,2,5,14.42,5.44,1.88,1.62,68.4
Os426,Ames22756,stiff stalk,2,2,5,13.06,4.92,1.69,1.49,69.61
PHJ70,PI601775,stiff stalk,2,2,5,11.18,5.36,1.52,1.42,68.17
FR19,PI600772,stiff stalk,2,2,5,12.72,5.28,1.78,1.52,68.71
B14A,PI550461,stiff stalk,2,2,5,11.41,5,1.97,1.51,65.48
PHT55,PI601498,stiff stalk,2,2,5,13.83,4.9,1.96,1.66,68.2
LH193,PI539927,stiff stalk,2,2,5,15.34,6.01,1.87,1.68,66.45
LH192,PI539926,stiff stalk,2,2,5,13.31,5.36,1.92,1.59,67.79
LH190,PI539922,stiff stalk,2,2,5,9.95,5.4,1.71,1.44,69.25
87916W,PI601563,stiff stalk,2,2,5,9.05,5.26,1.52,1.32,68.56
PHW52,PI601575,stiff stalk,2,2,5,10.2,5.06,1.64,1.38,68
PHM10,PI601778,stiff stalk,2,2,5,11.62,4.34,1.87,1.45,69.89
B73,PI550473,stiff stalk,2,2,5,12.51,4.62,1.7,1.55,68.65
B109,PI597927,stiff stalk,2,2,5,12.4,5.54,1.51,1.45,69.94
NC328,Ames27160,stiff stalk,2,2,5,10.41,5.17,1.51,1.41,69.87
4N506,PI601745,stiff stalk,2,2,5,9.88,4.98,1.74,1.41,68.5
H110,PI550526,stiff stalk,2,2,5,13.38,5.57,1.85,1.58,69.25
NS701,PI601417,stiff stalk,2,2,5,10.75,4.93,1.46,1.37,70.94
LP1 NR HT,PI600729,stiff stalk,2,2,5,13.51,5.27,2.04,1.6,69.17
LH208,PI547088,stiff stalk,2,2,5,12.23,5.02,1.53,1.45,69.6
PHT10,PI601573,stiff stalk,2,2,5,13.49,5.05,1.43,1.53,70.01
CO258,Ames27053,stiff stalk,2,2,5,12.51,5.12,1.92,1.54,68.52
LH205,PI537099,stiff stalk,2,2,5,8.56,4.67,1.39,1.23,70.12
B73,PI550473,stiff stalk,2,2,5,11.07,4.29,1.41,1.38,69.06
N28Ht,Ames27138,stiff stalk,2,2,5,11.12,4.64,1.72,1.4,69.91
LH194,PI539923,stiff stalk,2,2,5,11.07,5.67,1.59,1.45,69.09
H84,PI587128,stiff stalk,2,2,5,12.89,4.93,2.02,1.53,69.19
LH195,PI537097,stiff stalk,2,2,5,10.92,5.51,1.53,1.41,70.03
PHK29,PI601468,stiff stalk,2,2,5,10.37,5.14,1.92,1.43,68.91
B37,PI550467,stiff stalk,2,2,5,13,5.73,2.02,1.61,66.55
Ia 453,Ames22030,sweet corn,1,2,1,13.92,6.98,1.85,1.65,66.81
Ia 453,Ames22030,sweet corn,1,1,2,12.2,5.8,1.46,1.5,69
Ia 453,Ames22030,sweet corn,1,2,2,12.34,5.68,1.64,1.52,68.81
Ia 453,Ames22030,sweet corn,1,1,3,16.34,7.08,2.76,1.78,70.98
Ia 453,Ames22030,sweet corn,1,2,3,14.74,6.91,2.63,1.66,70.5
Ia 453,Ames22030,sweet corn,1,1,4,14.12,5.17,1.97,1.62,72.84
Ia 453,Ames22030,sweet corn,1,2,4,14.14,4.94,2.46,1.67,70.8
Ia 453,Ames22030,sweet corn,1,2,5,14.08,6.7,1.8,1.64,67.79
A322,Ames23422,unclassified,1,1,1,12.99,4.34,1.55,1.42,72.47
NC262,PI531085,unclassified,1,1,1,12.12,4.85,1.81,1.51,69.06
DK78010,PI601211,unclassified,1,1,1,13.31,4.64,1.5,1.45,73.38
PHB09,PI601007,unclassified,1,1,1,11.98,4.13,1.8,1.45,71.39
LH61,PI601416,unclassified,1,1,1,12.55,4.55,1.69,1.49,72.88
2369,PI601559,unclassified,1,1,1,11.96,5.66,1.69,1.46,71.15
MS153,Ames24734,unclassified,1,1,1,10.85,3.64,1.86,1.4,70.61
CR14,PI601683,unclassified,1,1,1,13.21,4.96,1.49,1.48,73.44
N6,Ames27137,unclassified,1,1,1,14.82,5.11,1.74,1.6,70.91
CR1HT,PI601080,unclassified,1,1,1,14.45,3.66,1.59,1.54,73.12
LH209,PI554612,unclassified,1,1,1,12.44,4.22,1.51,1.42,72.49
LH222,PI559375,unclassified,1,1,1,11.44,4.47,1.47,1.38,73.27
790,PI601491,unclassified,1,1,1,11.25,2.76,1.33,1.33,72.49
CH753-4,Ames27021,unclassified,1,1,1,14.4,3.96,1.78,1.54,72.56
NQ508,PI559918,unclassified,1,1,1,13.41,4.66,1.79,1.54,70.89
A648,NSL81597,unclassified,1,1,1,11.25,4.34,1.66,1.42,71.81
1538,PI601658,unclassified,1,1,1,14,4.19,1.56,1.55,71.43
NORTH 7,Ames2328,unclassified,1,1,1,14.48,4.53,1.83,1.59,71.21
29MIBZ2,PI548830,unclassified,1,1,1,12.74,4.11,1.62,1.47,72.16
A659,NSL81599,unclassified,1,1,1,13.39,4.46,2.14,1.58,70.13
PHP76,PI543846,unclassified,1,1,1,11.76,3.81,2.17,1.55,72.21
W8304,PI601502,unclassified,1,1,1,12.37,3.83,1.82,1.47,71.54
A674,Ames23498,unclassified,1,1,1,11.93,3.15,1.65,1.4,72.92
IBB15,PI601458,unclassified,1,1,1,12.9,4.02,1.67,1.48,72.22
H99,PI587129,unclassified,1,1,1,12.85,5.17,1.73,1.49,71.71
A556,Ames23450,unclassified,1,1,1,12.4,3.83,1.69,1.46,71.92
L 155,PI550695,unclassified,1,1,1,14.48,3.98,2.03,1.6,71.36
PHJ89,PI548798,unclassified,1,1,1,16.42,5.47,1.73,1.68,70.6
CH711-10,Ames27018,unclassified,1,1,1,13.88,4.23,1.69,1.53,72.26
I29,Ames27115,unclassified,1,1,1,15.9,4.5,2.11,1.67,72.36
A679,PI587142,unclassified,1,1,1,10.15,3.63,1.84,1.34,71.7
A334,Ames23423,unclassified,1,1,1,15.61,5.65,2.13,1.67,71.18
MEF156-55-2,Ames27135,unclassified,1,1,1,14.88,6.02,1.6,1.71,69.14
PHR63,PI601787,unclassified,1,1,1,11.04,4.25,1.59,1.37,73.17
6F629,PI546483,unclassified,1,1,1,14.11,4.86,1.51,1.66,69.93
SD40,PI606768,unclassified,1,1,1,9.03,3.5,1.9,1.3,70.68
ND247,PI550503,unclassified,1,1,1,12.06,5.02,1.3,1.46,70.59
W117Ht,Ames8399,unclassified,1,1,1,11.32,4.45,1.54,1.4,70.95
CI 40H,Ames26128,unclassified,1,1,1,11.15,3.94,1.56,1.4,71.79
793,PI601492,unclassified,1,1,1,12.06,3.57,1.61,1.4,70.46
CM105,PI587124,unclassified,1,1,1,13.35,4.28,1.67,1.53,71.65
FBLA,PI546482,unclassified,1,1,1,12.25,4.47,1.61,1.45,71.97
PHJ90,PI548799,unclassified,1,1,1,11.36,3.94,1.96,1.47,70.62
ICI 893,PI559383,unclassified,1,1,1,14.5,5.27,1.66,1.57,70.25
NK807,PI601430,unclassified,1,1,1,12.68,4.59,1.94,1.57,70.52
ML606,PI583774,unclassified,1,1,1,14.3,4.34,1.92,1.6,71.42
MS226,Ames24751,unclassified,1,1,1,10.01,4.39,2.12,1.44,70.29
PHBA6,PI559935,unclassified,1,1,1,14.5,4.59,1.72,1.61,71.31
